City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dire Dawa,ET,9.5931,41.8661,72.07,60,87,7.54,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,33.46,86,90,6.91,light snow
2,Egvekinot,RU,66.3167,-179.1667,43.72,98,100,4.36,light rain
3,Emerald,AU,-23.5333,148.1667,51.94,45,0,5.75,clear sky
4,Ponta Do Sol,PT,32.6667,-17.1,79.43,75,30,2.15,scattered clouds
5,Castro,BR,-24.7911,-50.0119,71.78,38,0,9.4,clear sky
6,Namatanai,PG,-3.6667,152.4333,78.15,80,37,1.86,light rain
7,Busselton,AU,-33.65,115.3333,57.09,67,62,29.44,broken clouds
8,Mataura,NZ,-46.1927,168.8643,45.48,98,99,4.0,overcast clouds
9,Nikolskoye,RU,59.7035,30.7861,82.29,35,36,5.26,scattered clouds
10,Codrington,AU,-38.2667,141.9667,49.32,88,100,15.23,overcast clouds
11,Pathein,MM,16.7833,94.7333,78.01,91,100,11.3,moderate rain
12,Mahebourg,MU,-20.4081,57.7,68.29,88,75,11.5,light rain
13,Sibolga,ID,1.7427,98.7792,78.03,87,91,3.18,overcast clouds
14,Hermanus,ZA,-34.4187,19.2345,64.22,65,36,2.66,scattered clouds
15,Airai,TL,-8.9266,125.4092,55.9,85,26,2.26,scattered clouds
16,Laguna,US,38.421,-121.4238,78.44,63,1,1.01,clear sky
17,Punta Arenas,CL,-53.15,-70.9167,41.11,75,0,11.5,clear sky
18,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,75,11.5,light rain
19,Albany,US,42.6001,-73.9662,81.72,71,1,1.99,clear sky
20,Winkler,CA,49.1817,-97.941,81.32,49,36,4.61,scattered clouds
21,Tinskoy,RU,56.1525,96.9161,67.98,62,11,4.74,few clouds
22,Puerto Ayora,EC,-0.7393,-90.3518,76.96,84,96,5.99,overcast clouds
23,Union,US,40.6334,-74.2663,89.19,57,90,1.99,overcast clouds
24,Lumeje,AO,-11.55,20.7833,71.92,21,100,7.65,overcast clouds
25,Kapaa,US,22.0752,-159.319,79.12,84,40,11.5,scattered clouds
26,Te Anau,NZ,-45.4167,167.7167,41.86,93,100,2.77,overcast clouds
27,Cairns,AU,-16.9167,145.7667,71.55,72,90,5.75,overcast clouds
28,East London,ZA,-33.0153,27.9116,67.14,39,0,8.05,clear sky
29,Atuona,PF,-9.8,-139.0333,78.01,66,78,23.82,broken clouds
30,Tuatapere,NZ,-46.1333,167.6833,45.82,86,99,4.97,overcast clouds
31,Marsaxlokk,MT,35.8419,14.5431,86.61,58,0,12.66,clear sky
32,Umm Kaddadah,SD,13.6017,26.6876,90.95,38,88,11.34,overcast clouds
33,Bluff,NZ,-46.6,168.3333,45.81,75,98,14.34,overcast clouds
34,Trapani,IT,37.8333,12.6667,98.71,21,0,20.71,clear sky
35,Hobart,AU,-42.8794,147.3294,55.02,71,40,1.99,scattered clouds
36,Kodiak,US,57.79,-152.4072,53.11,82,90,3.44,overcast clouds
37,New Norfolk,AU,-42.7826,147.0587,54.66,54,97,6.51,light rain
38,Itarema,BR,-2.9248,-39.9167,88.56,48,44,17.98,scattered clouds
39,Port Alfred,ZA,-33.5906,26.891,67.96,40,100,5.79,overcast clouds
40,Talakan,RU,50.3167,130.3667,68.85,98,100,5.28,overcast clouds
41,Vaini,TO,-21.2,-175.2,75.0,80,69,3.09,broken clouds
42,Hambantota,LK,6.1241,81.1185,82.74,83,94,11.5,overcast clouds
43,Yellowknife,CA,62.456,-114.3525,61.32,63,75,8.05,broken clouds
44,Cotonou,BJ,6.3654,2.4183,82.38,65,40,16.11,scattered clouds
45,Kupang,ID,-10.1667,123.5833,73.15,81,68,6.73,broken clouds
46,Broome,US,42.2506,-75.833,81.46,59,1,1.99,haze
47,Faanui,PF,-16.4833,-151.75,77.72,76,66,10.09,light rain
48,Hilo,US,19.7297,-155.09,73.8,94,90,8.05,moderate rain
49,Cabo San Lucas,MX,22.8909,-109.9124,90.81,54,1,3.44,clear sky
50,Butaritari,KI,3.0707,172.7902,81.5,75,100,8.21,overcast clouds
51,Mar Del Plata,AR,-38.0023,-57.5575,55.09,66,75,5.99,broken clouds
52,Padang,ID,-0.9492,100.3543,78.85,88,89,3.96,overcast clouds
53,Bredasdorp,ZA,-34.5322,20.0403,74.52,27,70,10.36,broken clouds
54,Leshukonskoye,RU,64.8989,45.7622,50.63,68,88,10.13,overcast clouds
55,Nuuk,GL,64.1835,-51.7216,56.01,67,20,9.22,few clouds
56,Mumford,GH,5.2618,-0.759,78.15,73,78,14.63,broken clouds
57,Salalah,OM,17.0151,54.0924,78.89,89,75,6.91,broken clouds
58,Marovoay,MG,-16.1,46.6333,82.54,49,16,11.25,few clouds
59,Cape Town,ZA,-33.9258,18.4232,75.61,32,0,8.05,clear sky
60,Ponta Delgada,PT,37.7333,-25.6667,75.92,64,40,11.5,scattered clouds
61,Rikitea,PF,-23.1203,-134.9692,73.2,76,21,15.19,few clouds
62,Coquimbo,CL,-29.9533,-71.3436,58.73,58,0,2.3,clear sky
63,Chokurdakh,RU,70.6333,147.9167,34.5,92,84,10.74,broken clouds
64,Takoradi,GH,4.8845,-1.7554,78.6,71,77,11.56,broken clouds
65,Marsh Harbour,BS,26.5412,-77.0636,83.46,71,9,9.51,clear sky
66,Dikson,RU,73.5069,80.5464,43.59,86,83,0.98,broken clouds
67,Namibe,AO,-15.1961,12.1522,76.12,56,0,8.5,clear sky
68,Maragogi,BR,-9.0122,-35.2225,78.96,75,12,11.81,few clouds
69,Cidreira,BR,-30.1811,-50.2056,63.66,90,99,6.58,moderate rain
70,Acari,PE,-15.4311,-74.6158,71.51,58,32,7.9,scattered clouds
71,Quatre Cocos,MU,-20.2078,57.7625,68.11,76,25,11.25,scattered clouds
72,Provideniya,RU,64.3833,-173.3,48.18,98,100,3.65,light rain
73,Fortuna,US,40.5982,-124.1573,66.18,96,90,0.0,overcast clouds
74,Qandala,SO,11.472,49.8728,87.91,52,62,5.35,broken clouds
75,Wilmington,US,34.2257,-77.9447,86.99,83,40,9.22,scattered clouds
76,Luderitz,NA,-26.6481,15.1594,69.15,44,1,8.7,clear sky
77,Bethel,US,41.3712,-73.414,85.46,68,20,1.01,few clouds
78,Hamilton,US,39.1834,-84.5333,86.41,61,20,0.0,few clouds
79,Bengkulu,ID,-3.8004,102.2655,76.06,75,64,4.88,broken clouds
80,Igrim,RU,63.1906,64.4162,56.8,60,63,4.85,broken clouds
81,Neepawa,CA,50.2289,-99.4664,72.0,29,23,6.17,light rain
82,Kavieng,PG,-2.5744,150.7967,80.26,77,9,5.53,light rain
83,Guerrero Negro,MX,27.9769,-114.0611,72.55,68,1,8.79,clear sky
84,Richards Bay,ZA,-28.783,32.0377,64.56,61,2,14.05,clear sky
85,Loukhi,RU,66.0764,33.0381,61.21,44,30,8.59,scattered clouds
86,Hithadhoo,MV,-0.6,73.0833,81.5,77,78,9.62,broken clouds
87,Hasaki,JP,35.7333,140.8333,72.28,90,100,31.41,moderate rain
88,Ilulissat,GL,69.2167,-51.1,50.02,57,75,8.05,broken clouds
89,Palmer,US,42.1584,-72.3287,85.98,62,40,1.01,mist
90,Dalvik,IS,65.9702,-18.5286,60.73,64,79,6.87,broken clouds
91,Kalmunai,LK,7.4167,81.8167,84.24,68,92,1.95,overcast clouds
92,Helmstedt,DE,52.2279,11.0099,83.16,56,96,6.44,overcast clouds
93,Ribeira Grande,PT,38.5167,-28.7,77.4,69,20,14.97,few clouds
94,Lata,PT,40.1629,-8.3327,87.04,42,0,12.59,clear sky
95,Japura,ID,-0.3167,102.35,75.6,77,49,3.58,scattered clouds
96,Saskylakh,RU,71.9167,114.0833,47.5,83,46,5.41,scattered clouds
97,Rio Tercero,AR,-32.173,-64.1141,60.8,31,0,11.18,clear sky
98,Jiayuguan,CN,39.8167,98.3,79.29,22,100,12.24,overcast clouds
99,Manadhoo,MV,5.7667,73.3833,81.16,78,98,7.16,overcast clouds
100,Georgiyevskoye,RU,58.731,45.024,67.28,58,73,8.39,broken clouds
101,Dwarka,IN,22.2394,68.9678,82.71,85,97,20.6,overcast clouds
102,Nanortalik,GL,60.1432,-45.2371,50.9,67,86,10.36,overcast clouds
103,Rondonopolis,BR,-16.4708,-54.6356,94.87,19,0,4.21,clear sky
104,Nicosia,CY,35.1667,33.3667,96.49,24,20,11.5,few clouds
105,San Policarpo,PH,12.1791,125.5072,82.78,73,100,9.78,overcast clouds
106,Esperance,AU,-33.8667,121.9,53.44,91,100,21.45,overcast clouds
107,Saint George,US,37.1041,-113.5841,81.79,65,1,1.01,clear sky
108,Klaksvik,FO,62.2266,-6.589,52.72,96,100,9.17,overcast clouds
109,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,70.0,63,68,11.52,broken clouds
110,Usinsk,RU,65.9939,57.5281,45.16,92,99,5.57,overcast clouds
111,Pacific Grove,US,36.6177,-121.9166,62.46,94,90,5.01,overcast clouds
112,Maneadero,MX,31.7167,-116.5667,68.18,90,99,1.01,overcast clouds
113,Kaseda,JP,31.4167,130.3167,76.41,88,68,6.29,broken clouds
114,Moron,AR,-34.6534,-58.6198,58.01,49,51,4.0,broken clouds
115,Pisco,PE,-13.7,-76.2167,65.01,72,0,11.5,clear sky
116,Caraquet,CA,47.7941,-64.9386,71.35,83,100,4.07,overcast clouds
117,Constitucion,CL,-35.3333,-72.4167,52.59,79,55,8.86,broken clouds
118,Karuzi,BI,-3.125,30.1333,68.54,42,49,6.55,scattered clouds
119,Clinton,US,42.587,-82.9199,86.0,54,1,1.01,clear sky
120,Sitka,US,57.0531,-135.33,51.69,87,20,0.0,few clouds
121,Qaanaaq,GL,77.484,-69.3632,43.57,55,86,9.04,overcast clouds
122,Bilma,NE,18.6853,12.9164,94.21,36,99,8.08,overcast clouds
123,Toyooka,JP,35.5333,134.8333,74.86,94,98,3.18,overcast clouds
124,Jaen,ES,38.0,-3.5,84.94,23,17,7.58,few clouds
125,Kieta,PG,-6.2167,155.6333,78.58,83,11,3.42,few clouds
126,Esmeraldas,BR,-19.7625,-44.3139,75.31,27,0,3.33,clear sky
127,Baturaja,ID,-4.1333,104.1667,70.83,88,12,3.15,few clouds
128,Bathsheba,BB,13.2167,-59.5167,86.61,74,40,19.57,scattered clouds
129,Nagato,JP,34.3833,131.2,80.51,84,0,2.46,clear sky
130,Muravlenko,RU,63.7898,74.523,52.93,70,96,9.1,overcast clouds
131,Cap-Aux-Meules,CA,47.3821,-61.8597,64.45,94,90,14.97,light intensity drizzle
132,Tuktoyaktuk,CA,69.4541,-133.0374,44.6,87,90,6.91,overcast clouds
133,Lagoa,PT,39.05,-27.9833,69.75,85,76,8.93,broken clouds
134,Kabare,CD,-2.4683,28.8242,64.92,72,100,2.62,overcast clouds
135,Mildura,AU,-34.2,142.15,49.96,66,29,6.91,scattered clouds
136,Caseiu,RO,47.1833,23.8667,86.83,60,91,4.03,overcast clouds
137,Altay,CN,47.8667,88.1167,70.59,44,5,5.06,clear sky
138,Gimli,CA,50.6336,-96.9907,78.44,68,57,4.61,broken clouds
139,Dumas,US,35.8656,-101.9732,79.11,48,50,6.85,scattered clouds
140,Quelimane,MZ,-17.8786,36.8883,73.35,60,20,10.36,light rain
141,Norman Wells,CA,65.282,-126.8329,57.24,67,75,8.05,broken clouds
142,Puerto Del Rosario,ES,28.5004,-13.8627,80.28,78,20,18.41,few clouds
143,Horki,BY,54.2861,30.9842,72.59,58,98,2.08,overcast clouds
144,Zhanaozen,KZ,43.3,52.8,94.44,16,0,16.96,clear sky
145,Port Elizabeth,ZA,-33.918,25.5701,68.09,45,0,1.14,clear sky
146,Pevek,RU,69.7008,170.3133,35.38,89,81,12.15,broken clouds
147,Eyl,SO,7.9803,49.8164,81.21,64,64,22.48,broken clouds
148,Clyde River,CA,70.4692,-68.5914,37.63,100,90,6.91,overcast clouds
149,Nome,US,64.5011,-165.4064,48.27,93,90,9.22,mist
150,Port-Gentil,GA,-0.7193,8.7815,80.56,74,40,12.66,scattered clouds
151,Kismayo,SO,-0.3582,42.5454,76.23,78,49,20.4,scattered clouds
152,Lahad Datu,MY,5.0268,118.327,78.6,87,59,1.92,moderate rain
153,Lavrentiya,RU,65.5833,-171.0,44.13,99,100,3.69,overcast clouds
154,Inirida,CO,3.8653,-67.9239,73.18,98,100,2.19,overcast clouds
155,Sechura,PE,-5.5569,-80.8222,74.5,63,32,10.02,scattered clouds
156,Saint-Philippe,RE,-21.3585,55.7679,71.19,78,44,10.25,light rain
157,Nikolo-Pavlovskoye,RU,57.7831,60.0578,55.0,77,56,4.47,broken clouds
158,Tongliao,CN,43.6125,122.2653,76.19,78,100,12.73,overcast clouds
159,Derzhavinsk,KZ,51.1,66.3167,63.66,41,0,9.46,clear sky
160,Jamestown,US,42.097,-79.2353,82.29,65,1,8.05,clear sky
161,Maldonado,UY,-34.6667,-54.9167,52.99,69,29,10.96,scattered clouds
162,Ambilobe,MG,-13.2,49.05,72.07,63,74,3.71,broken clouds
163,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,92.97,26,98,8.68,overcast clouds
164,Zhangjiakou,CN,40.81,114.8794,68.4,82,100,5.79,overcast clouds
165,Souillac,MU,-20.5167,57.5167,68.38,88,75,11.5,light rain
166,Avarua,CK,-21.2078,-159.775,71.65,94,75,10.36,heavy intensity rain
167,Saldanha,ZA,-33.0117,17.9442,75.25,55,4,11.21,clear sky
168,Dunedin,NZ,-45.8742,170.5036,48.79,76,100,25.99,overcast clouds
169,Karaton,ID,-6.3424,106.1045,77.16,89,24,1.23,few clouds
170,Upernavik,GL,72.7868,-56.1549,45.28,64,100,4.88,overcast clouds
171,Darabani,RO,48.1833,26.5833,85.21,58,13,10.27,few clouds
172,Gizo,SB,-8.103,156.8419,81.34,76,82,4.59,light rain
173,Iqaluit,CA,63.7506,-68.5145,51.53,81,75,5.99,broken clouds
174,Victoria,HK,22.2855,114.1577,88.32,83,95,5.99,overcast clouds
175,Ngunguru,NZ,-35.6167,174.5,49.15,80,1,10.65,clear sky
176,Swellendam,ZA,-34.0226,20.4417,73.78,43,66,8.55,broken clouds
177,Kahului,US,20.8947,-156.47,77.85,89,1,17.27,clear sky
178,Saint Anthony,US,45.0205,-93.218,86.25,59,1,1.99,clear sky
179,La Asuncion,VE,11.0333,-63.8628,82.62,72,51,9.31,broken clouds
180,Hay River,CA,60.8156,-115.7999,62.58,72,20,4.61,few clouds
181,Balikpapan,ID,-1.2675,116.8289,78.33,81,1,7.38,clear sky
182,Noumea,NC,-22.2763,166.4572,69.01,99,81,6.85,broken clouds
183,Georgetown,MY,5.4112,100.3354,84.88,84,20,3.44,few clouds
184,Hong Gai,VN,20.956,107.0946,85.91,91,63,3.78,broken clouds
185,Inta,RU,66.0317,60.1659,50.83,62,91,10.8,overcast clouds
186,Virginia Beach,US,36.8529,-75.978,88.02,67,85,4.0,overcast clouds
187,Rawah,IQ,34.4816,41.9093,108.5,13,0,8.59,clear sky
188,Baherden,TM,38.4362,57.4316,98.92,26,1,9.6,clear sky
189,Port Blair,IN,11.6667,92.75,82.36,85,100,20.18,overcast clouds
190,Ostrovnoy,RU,68.0531,39.5131,47.17,92,100,27.94,overcast clouds
191,Nouadhibou,MR,20.931,-17.0347,78.78,65,4,26.46,sand
192,Avera,US,33.194,-82.5271,88.72,53,11,2.3,few clouds
193,Betioky,MG,-23.7167,44.3833,66.29,55,68,16.87,broken clouds
194,Geraldton,AU,-28.7667,114.6,65.12,88,90,19.57,overcast clouds
195,Talcahuano,CL,-36.7167,-73.1167,46.08,71,0,13.8,clear sky
196,Cayenne,GF,4.9333,-52.3333,87.84,80,75,5.01,broken clouds
197,Bonfim,BR,3.0833,-59.95,80.55,60,69,3.51,broken clouds
198,Pangnirtung,CA,66.1451,-65.7125,51.8,93,90,0.0,light rain
199,Aksarka,RU,66.5606,67.7975,55.81,61,86,3.71,overcast clouds
200,Raga,SS,8.4596,25.678,74.03,82,100,4.34,overcast clouds
201,Suatu,RO,46.7667,23.9667,86.74,60,88,2.84,overcast clouds
202,Kamenka,RU,51.3223,42.7678,74.98,38,51,6.58,broken clouds
203,Skibbereen,IE,51.55,-9.2667,64.2,90,100,11.77,light rain
204,Peniche,PT,39.3558,-9.3811,83.75,71,2,16.98,clear sky
205,Buala,SB,-8.145,159.5921,78.51,86,100,6.73,moderate rain
206,Sorland,NO,67.667,12.6934,57.27,86,25,13.47,scattered clouds
207,Cedartown,US,34.0537,-85.255,89.22,80,10,5.06,clear sky
208,Bubaque,GW,11.2833,-15.8333,80.87,78,99,10.33,overcast clouds
209,San Cristobal,VE,7.7669,-72.225,77.18,54,88,6.17,overcast clouds
210,Aklavik,CA,68.2191,-135.0107,57.2,82,75,3.44,light rain
211,Olinda,BR,-8.0089,-34.8553,80.33,65,40,12.66,scattered clouds
212,Yemelyanovo,RU,56.1681,92.6767,70.61,88,40,4.47,scattered clouds
213,Bumba,CD,2.1833,22.4667,77.52,73,100,1.72,light rain
214,Torbay,CA,47.6666,-52.7314,65.75,84,75,0.0,broken clouds
215,Basco,PH,20.4487,121.9702,82.62,89,95,27.69,overcast clouds
216,Swan River,CA,52.1058,-101.2676,57.09,82,98,10.36,heavy intensity rain
217,Kaeo,NZ,-35.1,173.7833,49.32,91,4,11.05,clear sky
218,Aksu,CN,41.1231,80.2644,90.86,21,0,3.09,clear sky
219,Middle Island,US,40.8843,-72.9373,88.02,65,1,3.44,clear sky
220,Abu Dhabi,AE,24.4667,54.3667,102.31,53,4,6.91,clear sky
221,Coahuayana,MX,18.7333,-103.6833,85.48,71,76,1.25,broken clouds
222,Tautira,PF,-17.7333,-149.15,75.22,76,40,4.03,scattered clouds
223,Ulladulla,AU,-35.35,150.4667,56.77,60,100,11.43,overcast clouds
224,Buta,CD,2.7858,24.73,71.56,94,99,5.32,moderate rain
225,Half Moon Bay,US,37.4636,-122.4286,68.59,86,90,1.01,overcast clouds
226,Mount Isa,AU,-20.7333,139.5,46.17,53,2,6.91,clear sky
227,Sabha,LY,27.0377,14.4283,97.14,14,0,10.4,clear sky
228,Ucluelet,CA,48.9329,-125.5528,60.1,93,43,3.22,scattered clouds
229,Bandarbeyla,SO,9.4942,50.8122,81.68,62,77,27.38,broken clouds
230,Byron Bay,AU,-28.65,153.6167,54.72,66,88,6.22,overcast clouds
231,San Patricio,US,28.017,-97.5169,89.46,56,81,3.56,broken clouds
232,Ancud,CL,-41.8697,-73.8203,45.93,65,35,8.12,scattered clouds
233,Mount Gambier,AU,-37.8333,140.7667,51.71,87,90,11.5,overcast clouds
234,Naze,JP,28.3667,129.4833,77.23,86,100,13.56,overcast clouds
235,Severo-Kurilsk,RU,50.6789,156.125,57.16,90,76,4.92,broken clouds
236,Yatou,CN,37.15,122.3833,77.11,91,100,7.0,overcast clouds
237,Nago,JP,26.5881,127.9761,82.83,91,99,11.65,overcast clouds
238,Moose Factory,CA,51.2585,-80.6094,55.4,76,75,6.91,broken clouds
239,Cockburn Town,TC,21.4612,-71.1419,85.96,70,20,11.5,few clouds
240,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,44,0,14.97,clear sky
241,Cullman,US,34.1748,-86.8436,88.81,85,31,3.49,scattered clouds
242,Kaitangata,NZ,-46.2817,169.8464,49.93,63,100,8.97,moderate rain
243,Kruisfontein,ZA,-34.0033,24.7314,65.88,21,100,16.13,overcast clouds
244,Ayagoz,KZ,47.9714,80.4392,72.45,58,58,29.12,broken clouds
245,Halifax,CA,44.6453,-63.5724,68.68,94,90,3.0,light intensity drizzle
246,Beringovskiy,RU,63.05,179.3167,52.45,95,100,6.04,overcast clouds
247,Nyahururu,KE,0.0421,36.3673,54.61,89,92,2.1,light rain
248,Beisfjord,NO,68.3751,17.5988,76.05,62,92,4.0,overcast clouds
249,Tiksi,RU,71.6872,128.8694,39.7,97,100,12.24,overcast clouds
250,Alofi,NU,-19.0595,-169.9187,71.49,100,40,4.61,scattered clouds
251,Sarany,RU,58.5,58.8833,52.23,80,76,4.81,broken clouds
252,Bluefields,NI,12.0137,-83.7635,84.27,84,75,4.61,broken clouds
253,Ahipara,NZ,-35.1667,173.1667,55.09,84,14,17.27,few clouds
254,Bojnurd,IR,37.4747,57.329,87.75,42,20,18.41,few clouds
255,Katsuura,JP,35.1333,140.3,80.11,76,100,20.11,heavy intensity rain
256,Waddan,LY,29.1614,16.139,95.18,18,0,11.68,clear sky
257,Lebu,CL,-37.6167,-73.65,47.59,68,14,12.35,few clouds
258,Alice Springs,AU,-23.7,133.8833,62.15,23,55,10.36,broken clouds
259,Shingu,JP,33.7333,135.9833,73.36,85,100,6.55,overcast clouds
260,Damavand,IR,35.7178,52.065,91.24,23,26,3.29,scattered clouds
261,Fatwa,IN,25.5167,85.3167,82.49,62,100,5.91,light rain
262,Barrow,US,71.2906,-156.7887,39.22,99,90,11.5,light rain
263,Dabhol,IN,17.6,73.1667,78.58,86,77,14.0,broken clouds
264,Saint-Georges,GD,12.0564,-61.7485,78.48,94,75,11.5,broken clouds
265,Sambava,MG,-14.2667,50.1667,70.65,79,100,15.9,overcast clouds
266,Doctor Arroyo,MX,23.6667,-100.1833,73.04,46,4,0.43,clear sky
267,Ushtobe,KZ,45.2514,77.9838,87.31,25,0,8.95,clear sky
268,Broken Hill,AU,-31.95,141.4333,53.31,43,28,8.05,scattered clouds
269,Ganzhou,CN,28.8184,115.4327,80.26,81,8,4.32,clear sky
270,Brae,GB,60.3964,-1.353,58.91,94,100,14.76,overcast clouds
271,Eureka,US,40.8021,-124.1637,52.41,84,100,3.29,overcast clouds
272,Kungurtug,RU,50.5994,97.5228,56.23,88,85,1.97,overcast clouds
273,Buraydah,SA,26.326,43.975,111.65,8,16,20.76,few clouds
274,Antofagasta,CL,-23.65,-70.4,64.22,54,31,11.5,scattered clouds
275,Dhidhdhoo,MV,6.8833,73.1,81.79,77,98,11.23,overcast clouds
276,Caravelas,BR,-17.7125,-39.2481,78.4,57,2,7.76,clear sky
277,Yerbogachen,RU,61.2767,108.0108,67.73,66,39,3.42,scattered clouds
278,Vostok,RU,46.4856,135.8833,72.0,85,93,3.65,overcast clouds
279,Belmonte,BR,-15.8631,-38.8828,75.7,75,24,7.29,few clouds
280,Crotone,IT,39.0851,17.1178,87.75,51,0,13.8,clear sky
281,Xining,CN,36.6167,101.7667,57.42,80,98,3.2,overcast clouds
282,Gaya,IN,24.7833,85.0,85.91,79,75,0.0,mist
283,Ponto Novo,BR,-10.8628,-40.1336,77.97,56,92,9.15,overcast clouds
284,Carnarvon,AU,-24.8667,113.6333,69.87,89,75,14.97,broken clouds
285,Ambon,ID,-3.6954,128.1814,75.34,88,20,8.05,few clouds
286,Umtata,ZA,-31.5889,28.7844,64.96,19,0,2.3,clear sky
287,Dolores,AR,-36.3132,-57.6792,54.12,42,77,11.48,broken clouds
288,Samarai,PG,-10.6167,150.6667,77.34,85,99,17.96,overcast clouds
289,Bouloupari,NC,-21.8667,166.05,68.95,77,74,4.32,broken clouds
290,Tessalit,ML,20.1986,1.0114,105.84,16,38,8.52,scattered clouds
291,Agirish,RU,61.9247,63.0231,55.24,78,49,4.59,scattered clouds
292,Siderno,IT,38.2779,16.302,92.28,53,1,7.07,clear sky
293,Poum,NC,-20.2333,164.0167,70.29,70,73,16.71,broken clouds
294,Archidona,ES,37.0965,-4.3887,88.36,29,0,8.72,clear sky
295,Roald,NO,62.5833,6.1333,81.52,73,0,11.5,clear sky
296,Lorengau,PG,-2.0226,147.2712,81.28,76,30,4.05,scattered clouds
297,Tiarei,PF,-17.5333,-149.3333,75.22,76,34,4.74,scattered clouds
298,Santa Rosa,PH,14.3122,121.1114,82.9,84,100,15.01,overcast clouds
299,Wanaka,NZ,-44.7,169.15,44.11,99,100,5.88,overcast clouds
300,Los Llanos De Aridane,ES,28.6585,-17.9182,74.12,84,40,17.27,scattered clouds
301,Canton,CN,23.1167,113.25,90.88,56,99,6.91,overcast clouds
302,Vagay,RU,57.9375,69.0217,55.89,70,100,6.13,overcast clouds
303,Chifeng,CN,42.2683,118.9636,74.26,73,100,8.14,light rain
304,Chapleau,CA,47.8405,-83.4034,68.09,64,20,4.61,smoke
305,Zamora,EC,-4.0692,-78.9567,81.64,56,9,5.41,clear sky
306,Korla,CN,41.7597,86.1469,86.32,27,1,19.77,clear sky
307,Karratha,AU,-20.7377,116.8463,71.15,67,67,7.58,light rain
308,Luganville,VU,-15.5333,167.1667,77.58,86,57,8.63,broken clouds
309,Sola,VU,-13.8833,167.55,75.87,100,90,0.0,overcast clouds
310,Calvia,ES,39.5657,2.5062,77.47,69,55,5.3,broken clouds
311,Nikel,RU,69.4128,30.222,55.58,58,26,7.47,scattered clouds
312,Nelson,NZ,-41.2833,173.2833,53.29,97,96,7.18,overcast clouds
313,La Ronge,CA,55.1001,-105.2842,62.82,82,40,3.44,scattered clouds
314,Hami,CN,42.8,93.45,90.3,17,43,8.95,scattered clouds
315,Kyren,RU,51.6828,102.1408,62.49,82,33,2.73,scattered clouds
316,Lompoc,US,34.6391,-120.4579,64.11,87,78,0.0,broken clouds
317,Nacozari,MX,25.3366,-108.2574,89.11,52,99,1.28,overcast clouds
318,Meulaboh,ID,4.1363,96.1285,79.9,81,82,4.63,broken clouds
319,Taybad,IR,34.74,60.7756,96.39,12,0,31.5,clear sky
320,Guimar,ES,28.3039,-16.4325,73.56,73,20,16.11,few clouds
321,Tasiilaq,GL,65.6145,-37.6368,50.16,82,7,4.25,clear sky
322,Gold Coast,AU,-28.0,153.4333,53.01,82,76,0.0,broken clouds
323,Gravatai,BR,-29.9444,-50.9919,83.23,94,90,6.91,thunderstorm with light rain
324,Nisia Floresta,BR,-6.0911,-35.2086,84.58,53,20,16.26,few clouds
325,Morondava,MG,-20.2833,44.2833,73.87,64,14,10.78,few clouds
326,Chuy,UY,-33.6971,-53.4616,54.61,78,100,10.25,moderate rain
327,Vila Velha,BR,-20.3297,-40.2925,78.75,61,40,10.36,scattered clouds
328,El Monte,US,34.0686,-118.0276,78.93,88,40,0.0,scattered clouds
329,Tacoronte,ES,28.4769,-16.4102,72.99,76,40,20.0,fog
330,Stornoway,GB,58.2093,-6.3865,62.56,82,40,8.05,fog
331,Skoghall,SE,59.3232,13.4655,63.16,100,100,11.5,overcast clouds
